LATITUDE,LONGITUDE,PRES,TEMP
0.267,-16.032,17.0,21.987
0.267,-16.032,17.0,21.987
0.267,-16.032,22.1,21.891
0.267,-16.032,22.1,21.891
0.267,-16.032,27.2,21.812
0.267,-16.032,27.2,21.812
0.267,-16.032,32.3,21.632
0.267,-16.032,32.3,21.632
0.267,-16.032,37.4,21.344
0.267,-16.032,37.4,21.344
0.267,-16.032,42.5,20.909
0.267,-16.032,42.5,20.909
0.267,-16.032,47.5,20.468
0.267,-16.032,47.5,20.468
0.267,-16.032,52.6,20.306
0.267,-16.032,52.6,20.306
0.267,-16.032,57.7,20.226
0.267,-16.032,57.7,20.226
0.267,-16.032,62.8,19.928
0.267,-16.032,62.8,19.928
0.267,-16.032,67.9,19.214
0.267,-16.032,67.9,19.214
0.267,-16.032,73.0,18.658
0.267,-16.032,73.0,18.658
0.267,-16.032,78.1,18.19
0.267,-16.032,78.1,18.19
0.267,-16.032,83.2,17.494
0.267,-16.032,83.2,17.494
0.267,-16.032,88.3,16.576
0.267,-16.032,88.3,16.576
0.267,-16.032,93.4,16.284
0.267,-16.032,93.4,16.284
0.267,-16.032,101.0,15.773
0.267,-16.032,101.0,15.773
0.267,-16.032,111.2,15.166
0.267,-16.032,111.2,15.166
0.267,-16.032,121.4,15.008
0.267,-16.032,121.4,15.008
0.267,-16.032,131.5,14.844
0.267,-16.032,131.5,14.844
0.267,-16.032,141.7,14.55
0.267,-16.032,141.7,14.55
0.267,-16.032,151.9,14.357
0.267,-16.032,151.9,14.357
0.267,-16.032,162.1,14.238
0.267,-16.032,162.1,14.238
0.267,-16.032,172.3,14.14
0.267,-16.032,172.3,14.14
0.267,-16.032,182.4,14.064
0.267,-16.032,182.4,14.064
0.267,-16.032,192.6,14.0
0.267,-16.032,192.6,14.0
0.267,-16.032,202.8,13.871
0.267,-16.032,202.8,13.871
0.267,-16.032,213.0,13.701
0.267,-16.032,213.0,13.701
0.267,-16.032,223.2,13.345
0.267,-16.032,223.2,13.345
0.267,-16.032,233.3,12.746
0.267,-16.032,233.3,12.746
0.267,-16.032,243.5,12.258
0.267,-16.032,243.5,12.258
0.267,-16.032,253.7,12.17
0.267,-16.032,253.7,12.17
0.267,-16.032,263.9,11.956
0.267,-16.032,263.9,11.956
0.267,-16.032,274.1,11.734
0.267,-16.032,274.1,11.734
0.267,-16.032,284.2,11.634
0.267,-16.032,284.2,11.634
0.267,-16.032,294.4,11.266
0.267,-16.032,294.4,11.266
0.267,-16.032,304.6,10.864
0.267,-16.032,304.6,10.864
0.267,-16.032,314.8,10.456
0.267,-16.032,314.8,10.456
0.267,-16.032,325.0,9.481
0.267,-16.032,325.0,9.481
0.267,-16.032,335.1,9.081
0.267,-16.032,335.1,9.081
0.267,-16.032,345.3,8.852
0.267,-16.032,345.3,8.852
0.267,-16.032,355.5,8.672
0.267,-16.032,355.5,8.672
0.267,-16.032,365.7,8.545
0.267,-16.032,365.7,8.545
0.267,-16.032,375.9,8.452
0.267,-16.032,375.9,8.452
0.267,-16.032,386.0,8.404
0.267,-16.032,386.0,8.404
0.267,-16.032,396.2,8.384
0.267,-16.032,396.2,8.384
0.267,-16.032,406.4,8.239
0.267,-16.032,406.4,8.239
0.267,-16.032,416.6,8.215
0.267,-16.032,416.6,8.215
0.267,-16.032,426.8,8.184
0.267,-16.032,426.8,8.184
0.267,-16.032,436.9,8.176
0.267,-16.032,436.9,8.176
0.267,-16.032,447.1,8.152
0.267,-16.032,447.1,8.152
0.267,-16.032,457.3,8.053
0.267,-16.032,457.3,8.053
0.267,-16.032,467.5,7.942
0.267,-16.032,467.5,7.942
0.267,-16.032,477.7,7.774
0.267,-16.032,477.7,7.774
0.267,-16.032,487.8,7.503
0.267,-16.032,487.8,7.503
0.267,-16.032,498.0,7.395
0.267,-16.032,498.0,7.395
0.267,-16.032,508.2,7.296
0.267,-16.032,508.2,7.296
0.267,-16.032,518.4,7.198
0.267,-16.032,518.4,7.198
0.267,-16.032,528.6,7.111
0.267,-16.032,528.6,7.111
0.267,-16.032,538.7,7.006
0.267,-16.032,538.7,7.006
0.267,-16.032,548.9,6.868
0.267,-16.032,548.9,6.868
0.267,-16.032,559.1,6.786
0.267,-16.032,559.1,6.786
0.267,-16.032,569.3,6.734
0.267,-16.032,569.3,6.734
0.267,-16.032,579.5,6.525
0.267,-16.032,579.5,6.525
0.267,-16.032,589.6,6.347
0.267,-16.032,589.6,6.347
0.267,-16.032,599.8,6.142
0.267,-16.032,599.8,6.142
0.267,-16.032,610.0,6.032
0.267,-16.032,610.0,6.032
0.267,-16.032,620.2,5.957
0.267,-16.032,620.2,5.957
0.267,-16.032,630.4,5.873
0.267,-16.032,630.4,5.873
0.267,-16.032,640.5,5.851
0.267,-16.032,640.5,5.851
0.267,-16.032,650.7,5.848
0.267,-16.032,650.7,5.848
0.267,-16.032,660.9,5.743
0.267,-16.032,660.9,5.743
0.267,-16.032,671.1,5.575
0.267,-16.032,671.1,5.575
0.267,-16.032,681.3,5.541
0.267,-16.032,681.3,5.541
0.267,-16.032,691.4,5.454
0.267,-16.032,691.4,5.454
0.267,-16.032,701.6,5.379
0.267,-16.032,701.6,5.379
0.267,-16.032,711.8,5.303
0.267,-16.032,711.8,5.303
0.267,-16.032,722.0,5.296
0.267,-16.032,722.0,5.296
0.267,-16.032,732.2,5.211
0.267,-16.032,732.2,5.211
0.267,-16.032,742.3,5.164
0.267,-16.032,742.3,5.164
0.267,-16.032,752.5,5.022
0.267,-16.032,752.5,5.022
0.267,-16.032,762.7,4.941
0.267,-16.032,762.7,4.941
0.267,-16.032,772.9,4.941
0.267,-16.032,772.9,4.941
0.267,-16.032,783.1,4.914
0.267,-16.032,783.1,4.914
0.267,-16.032,793.2,4.874
0.267,-16.032,793.2,4.874
0.267,-16.032,803.4,4.827
0.267,-16.032,803.4,4.827
0.267,-16.032,813.6,4.817
0.267,-16.032,813.6,4.817
0.267,-16.032,823.8,4.811
0.267,-16.032,823.8,4.811
0.267,-16.032,834.0,4.801
0.267,-16.032,834.0,4.801
0.267,-16.032,844.1,4.751
0.267,-16.032,844.1,4.751
0.267,-16.032,854.3,4.728
0.267,-16.032,854.3,4.728
0.267,-16.032,864.5,4.698
0.267,-16.032,864.5,4.698
0.267,-16.032,874.7,4.691
0.267,-16.032,874.7,4.691
0.267,-16.032,884.9,4.678
0.267,-16.032,884.9,4.678
0.267,-16.032,895.0,4.625
0.267,-16.032,895.0,4.625
0.267,-16.032,905.2,4.576
0.267,-16.032,905.2,4.576
0.267,-16.032,915.4,4.589
0.267,-16.032,915.4,4.589
0.267,-16.032,925.6,4.572
0.267,-16.032,925.6,4.572
0.267,-16.032,935.8,4.556
0.267,-16.032,935.8,4.556
0.267,-16.032,945.9,4.553
0.267,-16.032,945.9,4.553
0.267,-16.032,956.1,4.543
0.267,-16.032,956.1,4.543
0.267,-16.032,966.3,4.497
0.267,-16.032,966.3,4.497
0.267,-16.032,976.5,4.445
0.267,-16.032,976.5,4.445
0.267,-16.032,986.7,4.428
0.267,-16.032,986.7,4.428
0.267,-16.032,996.8,4.441
0.267,-16.032,996.8,4.441
0.267,-16.032,1007.0,4.461
0.267,-16.032,1007.0,4.461
0.267,-16.032,1017.2,4.487
0.267,-16.032,1017.2,4.487
0.267,-16.032,1027.4,4.487
0.267,-16.032,1027.4,4.487
0.267,-16.032,1037.6,4.468
0.267,-16.032,1037.6,4.468
0.267,-16.032,1047.7,4.455
0.267,-16.032,1047.7,4.455
0.267,-16.032,1057.9,4.455
0.267,-16.032,1057.9,4.455
